Comune,PROV,ISTAT,Zona_Climatica,Sottozona,Latitudine,Longitudine,Altitudine
CALCIO,BG,16044,E,5,45.50833333333333,9.85388888888889,105
CALCO,LC,97012,E,4,45.72805555555556,9.420555555555556,193
CALOLZIOCORTE,LC,97013,E,4,45.80361111111111,9.433333333333334,198
CALVAGESE DELLA RIVIERA,BS,17033,E,7,45.54222222222222,10.447222222222223,157
CALVATONE,CR,19009,E,7,45.129444444444445,10.439444444444444,21
CALVENZANO,BG,16047,E,6,45.495,9.600555555555555,106
CALVENZANO,BG,16047,E,5,45.495,9.600555555555555,106
CALVIGNANO,PV,18025,E,8,44.98444444444444,9.168888888888889,124
CALVIGNASCO,MI,15042,E,5,45.327222222222225,9.026666666666667,104
CALVISANO,BS,17034,E,7,45.349722222222226,10.345,57
CAMBIAGO,MI,15044,E,5,45.57416666666667,9.425833333333333,148
CAMERATA CORNELLO,BG,16048,E,3,45.903888888888886,9.653333333333334,428
CAMISANO,CR,19010,E,6,45.44444444444444,9.744444444444444,90
CAMISANO,CR,19010,E,5,45.44444444444444,9.744444444444444,90
CAMPAGNOLA CREMASCA,CR,19011,E,6,45.39888888888889,9.669722222222221,80
CAMPODOLCINO,SO,14012,F,-,46.40611111111111,9.353333333333333,947
CANDIA LOMELLINA,PV,18027,E,6,45.17638888888889,8.594722222222222,98
CANEGRATE,MI,15046,E,5,45.57083333333334,8.929722222222221,182
CANNETO PAVESE,PV,18029,E,8,45.051944444444445,9.279166666666667,100
CANNETO PAVESE,PV,18029,E,6,45.051944444444445,9.279166666666667,100
CANTELLO,VA,12030,E,4,45.82138888888889,8.893333333333333,310
CANZO,CO,13042,E,4,45.8525,9.275833333333335,354
CANZO,CO,13042,E,2,45.8525,9.275833333333335,354
CAPERGNANICA,CR,19012,E,6,45.33722222222222,9.643888888888888,72
CAPIAGO INTIMIANO,CO,13043,E,4,45.77638888888889,9.123055555555556,330
CAPIZZONE,BG,16050,E,3,45.78527777777778,9.568055555555555,307
CAPO DI PONTE,BS,17035,E,3,46.03194444444444,10.345277777777778,350
CAPOVALLE,BS,17036,F,-,45.755,10.5475,500
CAPPELLA CANTONE,CR,19013,E,7,45.2475,9.839444444444444,46
CAPPELLA CANTONE,CR,19013,E,6,45.2475,9.839444444444444,46
CAPRALBA,CR,19015,E,6,45.44583333333333,9.64611111111111,83
CAPRALBA,CR,19015,E,5,45.44583333333333,9.64611111111111,83
CAPRIANO DEL COLLE,BS,17037,E,7,45.45611111111111,10.13,80
CAPRIATE SAN GERVASIO,BG,16051,E,5,45.60944444444445,9.529722222222222,131
CAPRINO BERGAMASCO,BG,16052,E,4,45.7475,9.481666666666667,260
CAPRIOLO,BS,17038,E,7,45.6375,9.935277777777777,162
CAPRIOLO,BS,17038,E,4,45.6375,9.935277777777777,162
CARATE URIO,CO,13044,E,2,45.87416666666667,9.126111111111111,199
CARAVAGGIO,BG,16053,E,6,45.4975,9.643888888888888,92
CARAVAGGIO,BG,16053,E,5,45.4975,9.643888888888888,92
CARAVATE,VA,12031,E,4,45.87916666666667,8.650833333333333,222
CARAVATE,VA,12031,E,2,45.87916666666667,8.650833333333333,222
CARBONARA AL TICINO,PV,18030,E,6,45.16833333333333,9.063055555555556,60
